pk,symbol,name,name_a
6621,SCHW,Charles Schwab Corporation,"charles,schwab"
468,AMT,American Tower Corporation,"american,tower"
6958,SPGI,S&P Global Inc,s&p
4743,MDT,Medtronic plc,medtronic
3652,HON,Honeywell International Inc,honeywell
7628,UL,Unilever PLC,unilever
4561,LOW,Lowe's Companies Inc,lowe's
3973,INTU,Intuit Inc,intuit
7252,TD,Toronto Dominion Bank (The),"toronto,dominion"
4535,LMT,Lockheed Martin Corporation,lockheed
1834,COP,ConocoPhillips,conocophillips
3433,GSK,GlaxoSmithKline PLC,glaxosmithkline
2585,EQNR,Equinor ASA,equinor
3548,HDB,HDFC Bank Limited,hdfc
6572,SAP,SAP  SE ADS,sap
833,AXP,American Express Company,"american,express"
3418,GS,Goldman Sachs Group Inc,"goldman,sachs"
6941,SONY,Sony Group Corporation,sony
5297,NOW,ServiceNow Inc,servicenow
4120,JD,JD,jdcom
2152,DEO,Diageo plc,diageo
6379,RIO,Rio Tinto Plc,"rio,tinto"
1407,CAT,Caterpillar Inc,caterpillar
1602,CHTR,Charter Communications Inc,"charter,communications"
1306,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),"anheuser,busch"
1113,BLK,BlackRock Inc,blackrock
2145,DE,Deere & Company,"deere,&"
2469,EL,Estee Lauder Companies Inc,"estee,lauder"
1292,BTI,British American Tobacco  Industries p,"british,american"
1360,C,Citigroup Inc,citigroup
6606,SBUX,Starbucks Corporation,starbucks
5921,PLD,Prologis Inc,prologis
148,ADP,Automatic Data Processing Inc,"automatic,data"
1191,BP,BP p,bp
1611,CI,Cigna Corporation,cigna
6170,PYPL,PayPal Holdings Inc,paypal
4738,MDLZ,Mondelez International Inc,mondelez
2506,ENB,Enbridge Inc,enbridge
8251,ZTS,Zoetis Inc,zoetis
5190,NFLX,Netflix Inc,netflix
6134,PTR,PetroChina Company Limited,petrochina
858,BA,Boeing Company (The),boeing
1411,CB,Chubb Limited,"chubb,limited"
2336,DUK,Duke Energy Corporation,"duke,energy"
3940,INFY,Infosys Limited,infosys
422,AMAT,Applied Materials Inc,"applied,materials"
5783,PDD,Pinduoduo Inc,pinduoduo
3234,GILD,Gilead Sciences Inc,gilead
4884,MMC,Marsh & McLennan Companies Inc,"marsh,&"
1761,CNI,Canadian National Railway Company,"canadian,national"
137,ADI,Analog Devices Inc,"analog,devices"
7169,SYK,Stryker Corporation,stryker
6919,SO,Southern Company (The),"southern,company"
4917,MO,Altria Group Inc,"altria,group"
5740,PBR,Petroleo Brasileiro S,"petroleo,brasileiro"
876,BAM,Brookfield Asset Management Inc,"brookfield,asset"
7897,VRTX,Vertex Pharmaceuticals Incorporated,"vertex,pharmaceuticals"
1719,CME,CME Group Inc,cme
4051,ISRG,Intuitive Surgical Inc,"intuitive,surgical"
5283,NOC,Northrop Grumman Corporation,northrop
1444,CCI,Crown Castle International Corp,"crown,castle"
4888,MMM,3M Company,3m
1086,BKNG,Booking Holdings Inc,"booking,holdings"
1338,BX,Blackstone Inc,blackstone
5858,PGR,Progressive Corporation,"progressive,corporation"
960,BDX,Becton Dickinson and Company,"becton,dickinson"
7359,TJX,TJX Companies Inc,tjx
7316,TGT,Target Corporation,"target,corporation"
7674,USB,US Bancorp,"us,bancorp"
1166,BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,"bank,nova"
3155,GE,General Electric Company,"general,electric"
7724,VALE,VALE SA,"vale,sa"
4970,MRNA,Moderna Inc,moderna
5050,MUFG,Mitsubishi UFJ Financial Group Inc,mitsubishi
5963,PNC,PNC Financial Services Group Inc,"pnc,financial"
1850,CP,Canadian Pacific Railway Limited,"canadian,pacific"
6300,REGN,Regeneron Pharmaceuticals Inc,"regeneron,pharmaceuticals"
1651,CL,Colgate-Palmolive Company,colgate
3798,IBN,ICICI Bank Limited,icici
5044,MU,Micron Technology Inc,micron
2083,D,Dominion Energy Inc,"dominion,energy"
7293,TFC,Truist Financial Corporation,"truist,financial"
8043,WM,Waste Management Inc,"waste,management"
449,AMOV,America Movil S,"america,movil"
1965,CSX,CSX Corporation,csx
1149,BMO,Bank Of Montreal,"bank,of,montreal"
475,AMX,America Movil S,[]
6755,SHW,Sherwin-Williams Company (The),"sherwin,williams"
2548,EOG,EOG Resources Inc,"eog,resources"
751,ATVI,Activision Blizzard Inc,blizzard
3138,GD,General Dynamics Corporation,"general,dynamics"
2693,EW,Edwards Lifesciences Corporation,"edwards,lifesciences"
2853,FISV,Fiserv Inc,fiserv
3738,HUM,Humana Inc,humana
2584,EQIX,Equinix Inc,equinix
2784,FDX,FedEx Corporation,fedex
509,AON,Aon plc Class A Ordinary Shares (Ireland),"aon,class"
5362,NTES,NetEase Inc,netease
41,ABNB,Airbnb Inc,airbnb
2161,DG,Dollar General Corporation,"dollar,general"
4074,ITW,Illinois Tool Works Inc,"illinois,tool"
5675,OXY,Occidental Petroleum Corporation,occidental
1772,CNQ,Canadian Natural Resources Limited,"canadian,natural"
4574,LRCX,Lam Research Corporation,"lam,research"
2851,FIS,Fidelity National Information Services Inc,fidelity
6076,PSA,Public Storage,"public,storage"
5343,NSC,Norfolk Southern Corporation,"norfolk,southern"
6904,SNP,China Petroleum & Chemical Corporation,"china,petroleum"
7265,TEAM,Atlassian Corporation,atlassian
1279,BSX,Boston Scientific Corporation,"boston,scientific"
3808,ICE,Intercontinental Exchange Inc,"intercontinental,exchange"
2561,EPD,Enterprise Products Partners L,"enterprise,products"
1044,BIDU,Baidu Inc,baidu
7597,UBS,UBS Group AG Registered Ordinary Shares,ubs
4722,MCO,Moody's Corporation,moody's
6162,PXD,Pioneer Natural Resources Company,"pioneer,natural"
523,APD,Air Products and Chemicals Inc,"air,products"
6306,RELX,RELX PLC PLC,relx
28,ABB,ABB Ltd,abb
2643,ETN,Eaton Corporation,"eaton,corporation"
3515,HCA,HCA Healthcare Inc,hca
5700,PANW,Palo Alto Networks Inc,"alto,networks"
7447,TRI,Thomson Reuters Corp Ordinary Shares,"thomson,reuters"
4911,MNST,Monster Beverage Corporation,"monster,beverage"
4226,KDP,Keurig Dr Pepper Inc,keurig
4774,MET,MetLife Inc,metlife
7466,TRP,TC Energy Corporation,"tc,energy"
6903,SNOW,Snowflake Inc,snowflake
1748,CNC,Centene Corporation,centene
6906,SNPS,Synopsys Inc,synopsys
7849,VMW,Vmware Inc,vmware
6818,SLB,Schlumberger N,schlumberger
3042,FTNT,Fortinet Inc,fortinet
192,AEP,American Electric Power Company Inc,"american,electric"
2504,EMR,Emerson Electric Company,"emerson,electric"
3298,GM,General Motors Company,"general,motors"
5196,NGG,National Grid Transco PLC National Grid PLC (NEW),"national,grid"
5160,NEM,Newmont Corporation,newmont
7107,SU,Suncor Energy  Inc,suncor
2724,F,Ford Motor Company,ford
4247,KHC,The Kraft Heinz Company,kraft
7009,SRE,DBA Sempra,"dba,sempra"
4718,MCK,McKesson Corporation,mckesson
4479,LHX,L3Harris Technologies Inc,l3harris
4271,KMB,Kimberly-Clark Corporation,kimberly-clark
4440,LFC,China Life Insurance Company Limited,"china,life"
4668,MAR,Marriott International Class A,marriott
2403,ECL,Ecolab Inc,ecolab
3703,HSY,The Hershey Company,hershey
4946,MPC,Marathon Petroleum Corporation,"marathon,petroleum"
3239,GIS,General Mills Inc,"general,mills"
7190,TAK,Takeda Pharmaceutical Company Limited,"takeda,pharmaceutical"
930,BCE,BCE Inc,bce
4264,KLAC,KLA Corporation,kla
6563,SAN,Banco Santander S,"banco,santander"
7591,UBER,Uber Technologies Inc,uber
296,AIG,American International Group Inc,aig
6750,SHOP,Shopify Inc,shopify
1706,CM,Canadian Imperial Bank of Commerce,"bank,of,commerce"
1476,CDNS,Cadence Design Systems Inc,"cadence,design"
1931,CRWD,CrowdStrike Holdings Inc,crowdstrike
7105,STZ,Constellation Brands Inc,"constellation,brands"
7178,SYY,Sysco Corporation,sysco
2699,EXC,Exelon Corporation,exelon
5615,ORLY,O'Reilly Automotive Inc,o'reilly
7832,VLO,Valero Energy Corporation,"valero,energy"
7864,VOD,Vodafone Group Plc,vodafone
6662,SE,Sea Limited,"sea,limited"
1798,COF,Capital One Financial Corporation,"capital,one"
6460,ROP,Roper Technologies Inc,"roper,technologies"
5370,NTR,Nutrien Ltd,nutrien
2777,FCX,Freeport-McMoRan Inc,freeport-mcmoran
850,AZO,AutoZone Inc,autozone
5722,PAYX,Paychex Inc,paychex
140,ADM,Archer-Daniels-Midland Company,archer-daniels-midland
4073,ITUB,Itau Unibanco Banco Holding SA,"itau,unibanco"
4020,IQV,IQVIA Holdings Inc,iqvia
35,ABEV,Ambev S,ambev
5464,O,Realty Income Corporation,"realty,income"
3625,HMC,Honda Motor Company Ltd,honda
6484,RSG,Republic Services Inc,"republic,services"
1169,BNTX,BioNTech SE American Depositary Share,biontech
7483,TRV,The Travelers Companies Inc,"the,travelers"
6860,SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,sumitomo
5444,NXPI,NXP Semiconductors N,nxp
6991,SQ,Block Inc,"block,inc"
1261,BSBR,Banco Santander Brasil SA,"banco,santander,brasil"
6114,PSX,Phillips 66,"phillips,66"
2369,E,ENI S,eni
6612,SCCO,Southern Copper Corporation,"southern,copper"
4978,MRVL,Marvell Technology Inc,marvell
155,ADSK,Autodesk Inc,autodesk
529,APH,Amphenol Corporation,amphenol
1970,CTAS,Cintas Corporation,"cintas,corporation"
7073,STLA,Stellantis N,stellantis
4274,KMI,Kinder Morgan Inc,"kinder,morgan"
1998,CTVA,Corteva Inc,corteva
2267,DOW,Dow Inc,dow
7274,TEL,TE Connectivity Ltd,"te,connectivity"
8044,WMB,Williams Companies Inc,"williams,companies"
4480,LI,Li Auto Inc,"li,auto"
2227,DLTR,Dollar Tree Inc,"dollar,tree"
8129,XEL,Xcel Energy Inc,"xcel,energy"
1720,CMG,Chipotle Mexican Grill Inc,chipotle
5222,NIO,NIO Inc,nio
7972,WDAY,Workday Inc,"workday,inc"
4603,LULU,lululemon athletica inc,lululemon
7985,WELL,Welltower Inc,welltower
1,A,Agilent Technologies Inc,"agilent,technologies"
5000,MSI,Motorola Solutions Inc,motorola
2222,DLR,Digital Realty Trust Inc,"digital,realty"
4765,MELI,MercadoLibre Inc,mercadolibre
220,AFL,AFLAC Incorporated,aflac
6073,PRU,Prudential Financial Inc,[]
369,ALL,Allstate Corporation,allstate
8237,ZM,Zoom Video Communications Inc,"zoom,video"
2024,CVE,Cenovus Energy Inc,cenovus
2347,DVN,Devon Energy Corporation,"devon,energy"
4991,MSCI,MSCI Inc,msci
3941,ING,ING Group N,"ing,group"
345,ALC,Alcon Inc,alcon
1994,CTSH,Cognizant Technology Solutions Corporation,cognizant
6224,RACE,Ferrari N,ferrari
6583,SBAC,SBA Communications Corporation,sba
319,AJG,Arthur J,"j,gallagher"
2370,EA,Electronic Arts Inc,"electronic,arts"
4303,KR,Kroger Company (The),kroger
4635,LYG,Lloyds Banking Group Plc,"lloyds,banking"
899,BBD,Banco Bradesco Sa,"banco,bradesco,sa"
6144,PUK,Prudential Public Limited Company,prudential
1076,BK,The Bank of New York Mellon Corporation,"new,york,mellon"
2142,DDOG,Datadog Inc,datadog
8201,YUM,Yum! Brands Inc,yum!
4786,MFC,Manulife Financial Corporation,manulife
4540,LNG,Cheniere Energy Inc,[]
4403,LCID,Lucid Group Inc,lucid
1601,CHT,Chunghwa Telecom Co,"chunghwa,telecom"
7961,WBA,Walgreens Boots Alliance Inc,"walgreens,boots"
4113,JCI,Johnson Controls International plc Ordinary Share,"johnson,controls"
3674,HPQ,HP Inc,hp
893,BAX,Baxter International Inc,baxter
6709,SGEN,Seagen Inc,seagen
2409,ED,Consolidated Edison Inc,"consolidated,edison"
4715,MCHP,Microchip Technology Incorporated,"microchip,technology"
7757,VEEV,Veeva Systems Inc,veeva
7970,WCN,Waste Connections Inc,"waste,connections"
6407,RMD,ResMed Inc,resmed
5867,PH,Parker-Hannifin Corporation,parker-hannifin
6956,SPG,Simon Property Group Inc,"simon,property"
2356,DXCM,DexCom Inc,dexcom
3832,IDXX,IDEXX Laboratories Inc,idexx
3380,GPN,Global Payments Inc,"global,payments"
1049,BIIB,Biogen Inc,biogen
3884,ILMN,Illumina Inc,illumina
2149,DELL,Dell Technologies Inc,dell
3620,HLT,Hilton Worldwide Holdings Inc,hilton
7981,WEC,WEC Energy Group Inc,"wec,energy"
484,ANET,Arista Networks Inc,"arista,networks"
5806,PEG,Public Service Enterprise Group Incorporated,"public,service"
7505,TSN,Tyson Foods Inc,"tyson,foods"
3562,HES,Hess Corporation,hess
5497,ODFL,Old Dominion Freight Line Inc,"old,dominion"
1398,CARR,Carrier Global Corporation,"carrier,global"
7527,TU,Telus Corporation,telus
3354,GOLD,Barrick Gold Corporation,"barrick,gold"
7511,TT,Trane Technologies plc,"trane,technologies"
2631,ET,Energy Transfer LP Common Units,"energy,transfer"
941,BCS,Barclays PLC,barclays
538,APO,Apollo Global Management Inc,"apollo,global"
3840,IFF,International Flavors & Fragrances Inc,"international,flavors"
8028,WIT,Wipro Limited,"wipro,limited"
7795,VICI,VICI Properties Inc,vici
7565,TWTR,Twitter Inc,twitter
5641,OTIS,Otis Worldwide Corporation,otis
30,ABC,AmerisourceBergen Corporation,amerisourcebergen
5382,NUE,Nucor Corporation,nucor
4948,MPLX,MPLX LP Common Units Representing Limited Partner Interests,mplx
2737,FAST,Fastenal Company,fastenal
7256,TDG,Transdigm Group Incorporated,transdigm
4632,LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),lyondellbasell
5602,ORAN,Orange,"orange,sa"
4788,MFG,Mizuho Financial Group Inc,mizuho
4261,KKR,KKR & Co,"kkr,&"
2606,ES,Eversource Energy (D/B/A),eversource
2137,DD,DuPont de Nemours Inc,dupont
5744,PCAR,PACCAR Inc,paccar
1867,CPNG,Coupang Inc,coupang
5012,MTB,M&T Bank Corporation,m&t
6382,RIVN,Rivian Automotive Inc,rivian
1721,CMI,Cummins Inc,cummins
901,BBDO,Banco Bradesco Sa,"banco,bradesco,sa"
3906,IMO,Imperial Oil Limited,"imperial,oil"
6001,PPG,PPG Industries Inc,"ppg,industries"
914,BBVA,Banco Bilbao Vizcaya Argentaria S,"banco,bilbao,vizcaya"
7892,VRSK,Verisk Analytics Inc,verisk
1087,BKR,Baker Hughes Company Class A,"baker,hughes"
2160,DFS,Discover Financial Services,"discover,financial"
2528,ENPH,Enphase Energy Inc,enphase
7270,TEF,Telefonica SA,telefonica
820,AWK,American Water Works Company Inc,"american,water"
7075,STM,STMicroelectronics N,stmicroelectronics
5427,NWG,NatWest Group plc,natwest
8163,XPEV,XPeng Inc,xpeng
3296,GLW,Corning Incorporated,"corning,incorporated"
5020,MTD,Mettler-Toledo International Inc,mettler-toledo
1870,CPRT,Copart Inc,copart
2957,FRC,FIRST REPUBLIC BANK,"first,republic"
2587,EQR,Equity Residential Common Shares of Beneficial Interest,"equity,residential"
7464,TROW,T,"rowe,price"
4620,LVS,Las Vegas Sands Corp,"vegas,sands"
3495,HAL,Halliburton Company,halliburton
785,AVB,AvalonBay Communities Inc,avalonbay
6465,ROST,Ross Stores Inc,"ross,stores"
6826,SLF,Sun Life Financial Inc,"sun,life"
2098,DASH,DoorDash Inc,doordash
7371,TLK,PT Telekomunikasi Indonesia Tbk,"pt,telekomunikasi"
3684,HRL,Hormel Foods Corporation,hormel
434,AME,AMETEK Inc,ametek
450,AMP,Ameriprise Financial Inc,ameriprise
1904,CRH,CRH PLC,crh
5286,NOK,Nokia Corporation,"nokia,corporation"
5144,NDAQ,Nasdaq Inc,nasdaq
4240,KEYS,Keysight Technologies Inc,keysight
8120,WY,Weyerhaeuser Company,weyerhaeuser
2181,DHI,"D.R. Horton, Inc","dr,horton"
2914,FNV,Franco-Nevada Corporation,franco-nevada
6996,SQM,Sociedad Quimica y Minera S,"sociedad,quimica"
2600,ERIC,Ericsson,ericsson
5528,OKE,ONEOK Inc,oneok
556,APTV,Aptiv PLC Ordinary Shares,aptiv
6788,SIVB,SVB Financial Group,svb
1422,CBRE,CBRE Group Inc  Class A,cbre
6883,SNAP,Snap Inc,snapchat
4200,K,Kellogg Company,kellogg
6782,SIRI,Sirius XM Holdings Inc,sirius
2383,EBAY,eBay Inc,ebay
1942,CSGP,CoStar Group Inc,"costar,group"
593,ARE,Alexandria Real Estate Equities Inc,"alexandria,real"
2317,DTE,DTE Energy Company,"dte,energy"
3479,GWW,W,"ww,grainger"
6259,RCI,Rogers Communication Inc,"rogers,communication"
2463,EIX,Edison International,"edison,international"
2796,FERG,Ferguson plc Ordinary Shares,"ferguson,plc"
343,ALB,Albemarle Corporation,"albemarle,corporation"
8245,ZS,Zscaler Inc,zscaler
8088,WST,West Pharmaceutical Services Inc,"west,pharmaceutical"
1442,CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,"coca-cola,europacific"
1378,CAJ,Canon Inc,canon
6453,ROK,Rockwell Automation Inc,"rockwell,automation"
1687,CLR,Continental Resources Inc,"continental,resources"
6246,RBLX,Roblox Corporation,roblox
3188,GFS,GlobalFoundries Inc,globalfoundries
7096,STT,State Street Corporation,"state,street"
2442,EFX,Equifax Inc,equifax
2854,FITB,Fifth Third Bancorp,"fifth,third"
2713,EXR,Extra Space Storage Inc,"extra,space"
1566,CHD,Church & Dwight Company Inc,"church,&"
174,AEE,Ameren Corporation,ameren
7494,TSCO,Tractor Supply Company,"tractor,supply"
4474,LH,Laboratory Corporation,"laboratory,corporation"
4428,LEN,Lennar Corporation,lennar
5554,ON,ON Semiconductor Corporation,"on,semiconductor"
2647,ETR,Entergy Corporation,entergy
8105,WTW,Willis Towers Watson Public Limited Company Ordinary Shares,"willis,towers"
3978,INVH,Invitation Homes Inc,"invitation,homes"
8206,ZBH,Zimmer Biomet Holdings Inc,"zimmer,biomet"
4861,MKC,McCormick & Company Incorporated,"mccormick,&"
3299,GMAB,Genmab A/S ADS,genmab
7514,TTD,The Trade Desk Inc,"trade,desk"
2282,DRE,Duke Realty Corporation,"duke,realty"
3045,FTS,Fortis Inc,"fortis,inc"
496,ANSS,ANSYS Inc,ansys
4608,LUV,Southwest Airlines Company,"southwest,airlines"
3587,HIG,Hartford Financial Services Group Inc,[]
8249,ZTO,ZTO Express (Cayman) Inc,zto
5017,MTCH,Match Group Inc,"match,group"
1884,CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,"cheniere,energy"
1484,CDW,CDW Corporation,"cdw,corporation"
2900,FMX,Fomento Economico Mexicano S,femsa
4730,MDB,MongoDB Inc,mongodb
970,BEKE,KE Holdings Inc,"ke,holdings"
1989,CTRA,Coterra Energy Inc,coterra
2785,FE,FirstEnergy Corp,firstenergy
7520,TTM,Tata Motors Ltd Tata Motors Limited,tata
2393,EC,Ecopetrol S,"ecopetrol,sa"
5935,PLTR,Palantir Technologies Inc,palantir
7062,STE,STERIS plc (Ireland) Ordinary Shares,steris
7955,WAT,Waters Corporation,"waters,corporation"
188,AEM,Agnico Eagle Mines Limited,agnico
7526,TTWO,Take-Two Interactive Software Inc,take-two
356,ALGN,Align Technology Inc,"align,technology"
2733,FANG,Diamondback Energy Inc,"diamondback,energy"
6975,SPOT,Spotify Technology S,spotify
8202,YUMC,Yum China Holdings Inc,"yum,china"
7919,VTR,Ventas Inc,ventas
5374,NTRS,Northern Trust Corporation,"northern,trust"
5750,PCG,Pacific Gas & Electric Co,"pacific,gas"
3402,GRMN,Garmin Ltd,garmin
6009,PPL,PPL Corporation,"ppl,corporation"
3046,FTV,Fortive Corporation,fortive
603,ARGX,argenx SE,argenx
1983,CTLT,Catalent Inc,catalent
7632,ULTA,Ulta Beauty Inc,"ulta,beauty"
1008,BGNE,BeiGene Ltd,beigene
4645,MAA,Mid-America Apartment Communities Inc,"mid-america,apartment"
4055,IT,Gartner Inc,gartner
7109,SUI,Sun Communities Inc,"sun,communities"
6384,RJF,Raymond James Financial Inc,"raymond,james"
5718,PAYC,Paycom Software Inc,paycom
5724,PBA,Pembina Pipeline Corp,"pembina,pipeline"
4640,LYV,Live Nation Entertainment Inc,"live,nation"
4088,IX,Orix Corp Ads,"orix,bank"
3225,GIB,CGI Inc,cgi
7841,VMC,Vulcan Materials Company (Holding Company),"vulcan,materials"
7893,VRSN,VeriSign Inc,verisign
3370,GPC,Genuine Parts Company,"genuine,parts"
5006,MT,Arcelor Mittal NY Registry Shares NEW,arcelormittal
2390,EBR,Centrais Electricas Brasileiras S A,"centrais,electricas"
4877,MLM,Martin Marietta Materials Inc,"martin,marietta"
1495,CEG,Constellation Energy Corporation,"constellation,energy"
811,AVTR,Avantor Inc,avantor
1737,CMS,CMS Energy Corporation,"cms,energy"
5380,NU,Nu Holdings Ltd,"nu,holdings"
3780,HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,"horizon,therapeutics"
2088,DAL,Delta Air Lines Inc,"delta,air"
1633,CINF,Cincinnati Financial Corporation,"cincinnati,financial"
431,AMCR,Amcor plc Ordinary Shares,amcor
6158,PWR,Quanta Services Inc,"quanta,services"
4389,LBRDK,Liberty Broadband Corporation,[]
2558,EPAM,EPAM Systems Inc,"epam,systems"
5705,PARAA,Paramount Global Class A Common Stock,"paramount,global"
6472,RPRX,Royalty Pharma plc Class A Ordinary Shares,"royalty,pharma"
2940,FOXA,Fox Corporation,[]
4388,LBRDA,Liberty Broadband Corporation,"liberty,broadband"
5873,PHG,Koninklijke Philips N,"koninklijke,philips"
382,ALNY,Alnylam Pharmaceuticals Inc,alnylam
5909,PKI,PerkinElmer Inc,perkinelmer
1771,CNP,CenterPoint Energy Inc (Holding Co),"centerpoint,energy"
3553,HEI,Heico Corporation,heico
3813,ICLR,ICON plc Ordinary Shares,"icon,plc"
1534,CFG,Citizens Financial Group Inc,"citizens,financial"
4954,MPWR,Monolithic Power Systems Inc,"monolithic,power"
7263,TDY,Teledyne Technologies Incorporated,teledyne
6455,ROL,Rollins Inc,"rollins,inc"
7666,URI,United Rentals Inc,"united,rentals"
8069,WRB,W. R. Berkley Corporation,"wr,berkley"
1704,CLX,Clorox Company (The),clorox
3650,HOLX,Hologic Inc,hologic
3929,INCY,Incyte Corp,incyte
1608,CHWY,Chewy Inc,chewy
2266,DOV,Dover Corporation,"dover,corporation"
3504,HBAN,Huntington Bancshares Incorporated,"huntington,bancshares"
7775,VFC,V.F. Corporation Common Stock,vf
260,AGR,Avangrid Inc,avangrid
6333,RF,Regions Financial Corporation,"regions,financial"
4864,MKL,Markel Corporation,"markel,corporation"
1525,CF,CF Industries Holdings Inc,"cf,industries"
1062,BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,"brookfield,infrastructure"
4021,IR,Ingersoll Rand Inc,"ingersoll,rand"
1206,BR,Broadridge Financial Solutions Inc,"broadridge,financial"
4106,JBHT,J.B. Hunt Transport Services Inc. Common Stock,"hunt,transport"
2624,ESS,Essex Property Trust Inc,"essex,property"
5170,NET,Cloudflare Inc,cloudflare
2939,FOX,Fox Corporation,"fox,corporation"
7243,TCOM,Trip,tripcom
1242,BRO,Brown & Brown Inc,"brown,&"
7549,TWLO,Twilio Inc,twilio
7634,UMC,United Microelectronics Corporation,"united,microelectronics"
2482,ELP,Companhia Paranaense de Energia (COPEL),"companhia,paranaense"
5833,PFG,Principal Financial Group Inc,"principal,financial"
3665,HPE,Hewlett Packard Enterprise Company,"packard,enterprise"
7150,SWK,Stanley Black & Decker Inc,"stanley,black"
1376,CAG,ConAgra Brands Inc,conagra
2884,FLT,FleetCor Technologies Inc,fleetcor
77,ACGL,Arch Capital Group Ltd,"arch,capital"
5704,PARA,Paramount Global Class B,[]
2105,DB,Deutsche Bank AG,"deutsche,bank"
4796,MGA,Magna International Inc,magna
2708,EXPD,Expeditors International of Washington Inc,expeditors
4236,KEY,KeyCorp,keycorp
4926,MOH,Molina Healthcare Inc,"molina,healthcare"
5529,OKTA,Okta Inc,okta
1152,BMRN,BioMarin Pharmaceutical Inc,biomarin
4935,MOS,Mosaic Company (The),"mosaic,company"
4093,J,Jacobs Engineering Group Inc,"jacobs,engineering"
5978,PODD,Insulet Corporation,insulet
6967,SPLK,Splunk Inc,splunk
7480,TRU,TransUnion,transunion
8207,ZBRA,Zebra Technologies Corporation,"zebra,technologies"
1579,CHKP,Check Point Software Technologies Ltd,"check,point"
