news_id,company_word,pk,symbol,name,stock_keyword_5
415216,duck creek,2134,DCT,Duck Creek Technologies Inc,"['shanghai', 'singapore', 'chinese', 'china', 'investor']"
415217,starbucks,6606,SBUX,Starbucks Corporation,"['burger', 'mcdonald', 'shanghai', 'chinaboth', 'meat']"
415217,beyond meat,1350,BYND,Beyond Meat Inc,"['burger', 'mcdonald', 'shanghai', 'chinaboth', 'meat']"
415231,emerging markets,3657,HORI,Emerging Markets Horizon Corp,"['debt', 'thailand', 'thai', 'asean', 'fiscal']"
415233,renewable energy,6299,REGI,Renewable Energy Group Inc,"['gulf', 'iran', 'oil', 'china', 'refinery']"
415234,bank of america,860,BAC,Bank of America Corporation,"['hensoldt', 'kkr', 'market', 'stock', 'investor']"
415234,citigroup,1360,C,Citigroup Inc,"['hensoldt', 'kkr', 'market', 'stock', 'investor']"
415234,vodafone,7864,VOD,Vodafone Group Plc,"['hensoldt', 'kkr', 'market', 'stock', 'investor']"
415234,mizuho,4788,MFG,Mizuho Financial Group Inc,"['hensoldt', 'kkr', 'market', 'stock', 'investor']"
415234,kkr &,4261,KKR,KKR & Co,"['hensoldt', 'kkr', 'market', 'stock', 'investor']"
415234,deutsche bank,2105,DB,Deutsche Bank AG,"['hensoldt', 'kkr', 'market', 'stock', 'investor']"
415237,paypal,6170,PYPL,PayPal Holdings Inc,"['softbank', 'company', 'corp', 'stock', 'wework']"
415237,vodafone,7864,VOD,Vodafone Group Plc,"['softbank', 'company', 'corp', 'stock', 'wework']"
415237,wework,7977,WE,WeWork Inc,"['softbank', 'company', 'corp', 'stock', 'wework']"
415242,apple,21,AAPL,Apple Inc,"['keurig', 'nasdaq', 'pepper', 'shareholder', 'bottling']"
415242,facebook,2746,FB,Meta Platforms Inc,"['keurig', 'nasdaq', 'pepper', 'shareholder', 'bottling']"
415242,amazon,477,AMZN,Amazon,"['keurig', 'nasdaq', 'pepper', 'shareholder', 'bottling']"
415242,keurig,4226,KDP,Keurig Dr Pepper Inc,"['keurig', 'nasdaq', 'pepper', 'shareholder', 'bottling']"
415242,nasdaq,5144,NDAQ,Nasdaq Inc,"['keurig', 'nasdaq', 'pepper', 'shareholder', 'bottling']"
