,symbol,name,company,stock_keyword,stock_frequency_keyword_4,stock_frequency_keyword_5
398,NNN,National Retail Properties,national retail,"['hospitality', 'hotel', 'smile', 'hotelier', 'smiling']","['hospitality', 'hotel', 'smile', 'hotelier']","['hospitality', 'hotel', 'smile', 'hotelier', 'smiling']"
399,STKS,The ONE Group Hospitality Inc,the one,"['zoox', 'driverless', 'california', 'permit', 'autox']","['zoox', 'driverless', 'california', 'permit']","['zoox', 'driverless', 'california', 'permit', 'autox']"
400,WEBR,Weber Inc,weber,"['gambia', 'tourism', 'pandemic', 'covid', 'visitor']","['gambia', 'tourism', 'pandemic', 'covid']","['gambia', 'tourism', 'pandemic', 'covid', 'visitor']"
401,RXDX,Prometheus Biosciences Inc,prometheus biosciences,"['qantas', 'salary', 'joyce', 'earnings', 'ceo']","['qantas', 'salary', 'joyce', 'earnings']","['qantas', 'salary', 'joyce', 'earnings', 'ceo']"
402,GABC,German American Bancorp Inc,german american,"['qantas', 'salary', 'joyce', 'earnings', 'ceo']","['qantas', 'salary', 'joyce', 'earnings']","['qantas', 'salary', 'joyce', 'earnings', 'ceo']"
403,PLG,Platinum Group Metals Ltd,platinum group,['nan'],['nan'],['nan']
404,KGC,Kinross Gold Corporation,kinross gold,"['banking', 'bank', 'investment', 'johannesburg', 'asset']","['banking', 'bank', 'investment', 'johannesburg']","['banking', 'bank', 'investment', 'johannesburg', 'asset']"
405,ASAN,Asana Inc,asana,"['currency', 'eurobond', 'ghana', 'monetary', 'cedi']","['currency', 'eurobond', 'ghana', 'monetary']","['currency', 'eurobond', 'ghana', 'monetary', 'cedi']"
406,GMTX,Gemini Therapeutics Inc,gemini,"['currency', 'eurobond', 'ghana', 'monetary', 'cedi']","['currency', 'eurobond', 'ghana', 'monetary']","['currency', 'eurobond', 'ghana', 'monetary', 'cedi']"
407,VALE,VALE S,vale sa,"['nigerian', 'nigeria', 'subsidy', 'gasoline', 'refueling']","['nigerian', 'nigeria', 'subsidy', 'gasoline']","['nigerian', 'nigeria', 'subsidy', 'gasoline', 'refueling']"
408,NEM,Newmont Corporation,newmont,"['nigerian', 'nigeria', 'subsidy', 'gasoline', 'refueling']","['nigerian', 'nigeria', 'subsidy', 'gasoline']","['nigerian', 'nigeria', 'subsidy', 'gasoline', 'refueling']"
409,AEM,Agnico Eagle Mines Limited,agnico,"['nigerian', 'nigeria', 'subsidy', 'gasoline', 'refueling']","['nigerian', 'nigeria', 'subsidy', 'gasoline']","['nigerian', 'nigeria', 'subsidy', 'gasoline', 'refueling']"
410,BZFD,BuzzFeed Inc,buzzfeed,"['nz', 'wellington', 'labour', 'auckland', 'zealandtreasury', 'pandemic', 'nasdaq', 'stock', 'stocksthe']","['nz', 'wellington', 'labour', 'auckland']","['nz', 'wellington', 'labour', 'auckland', 'zealandtreasury']"
411,IT,Gartner Inc,gartner,"['debt', 'loan', 'repayment', 'repay', 'lender']","['debt', 'loan', 'repayment', 'repay']","['debt', 'loan', 'repayment', 'repay', 'lender']"
412,FR,First Industrial Realty Trust Inc,first industrial,"['inflation', 'monetary', 'fed', 'bank', 'easing']","['inflation', 'monetary', 'fed', 'bank']","['inflation', 'monetary', 'fed', 'bank', 'easing']"
413,RES,RPC Inc,rpc,"['bank', 'goldman', 'lending', 'tightening', 'liquidity']","['bank', 'goldman', 'lending', 'tightening']","['bank', 'goldman', 'lending', 'tightening', 'liquidity']"
414,HTHT,Huazhu Group Limited,huazhu,"['bondholder', 'venezuelan', 'venezuela', 'investor', 'bond']","['bondholder', 'venezuelan', 'venezuela', 'investor']","['bondholder', 'venezuelan', 'venezuela', 'investor', 'bond']"
415,DMS,Digital Media Solutions Inc,digital media,"['slump', 'refinery', 'petroleum', 'exxon', 'opec']","['slump', 'refinery', 'petroleum', 'exxon']","['slump', 'refinery', 'petroleum', 'exxon', 'opec']"
416,BK,The Bank of New York Mellon Corporation,new york mellon,"['treasury', 'pandemic', 'nasdaq', 'stock', 'stocksthe']","['treasury', 'pandemic', 'nasdaq', 'stock']","['treasury', 'pandemic', 'nasdaq', 'stock', 'stocksthe']"
417,STT,State Street Corporation,state street,"['treasury', 'pandemic', 'nasdaq', 'stock', 'stocksthe']","['treasury', 'pandemic', 'nasdaq', 'stock']","['treasury', 'pandemic', 'nasdaq', 'stock', 'stocksthe']"
418,ILMN,Illumina Inc,illumina,"['pepsi', 'pepsico', 'cola', 'kendall', 'sodavaccine', 'vaccination', 'vaccinated', 'injection', 'efficacy']","['pepsi', 'pepsico', 'cola', 'kendall']","['pepsi', 'pepsico', 'cola', 'kendall', 'sodavaccine']"
419,HSAQ,Health Sciences Acquisitions Corporation,health sciences,"['pepsi', 'pepsico', 'cola', 'kendall', 'soda']","['pepsi', 'pepsico', 'cola', 'kendall']","['pepsi', 'pepsico', 'cola', 'kendall', 'soda']"
420,NGG,National Grid Transco PLC National Grid PLC (NEW),national grid,"['ev', 'uber', 'automaker', 'tesla', 'automotive']","['ev', 'uber', 'automaker', 'tesla']","['ev', 'uber', 'automaker', 'tesla', 'automotive']"
421,PJT,PJT Partners Inc,pjt partners,"['apple', 'ipads', 'employee', 'office', 'remotely']","['apple', 'ipads', 'employee', 'office']","['apple', 'ipads', 'employee', 'office', 'remotely']"
422,RL,Ralph Lauren Corporation,ralph lauren,"['la', 'gym', 'fitness', 'atlanta', 'angeles']","['la', 'gym', 'fitness', 'atlanta']","['la', 'gym', 'fitness', 'atlanta', 'angeles']"
423,OFC,Corporate Office Properties Trust,corporate office,"['la', 'gym', 'fitness', 'atlanta', 'angeles']","['la', 'gym', 'fitness', 'atlanta']","['la', 'gym', 'fitness', 'atlanta', 'angeles']"
424,SDAC,Sustainable Development Acquisition I Corp,sustainable development,"['zambia', 'debt', 'zambian', 'loan', 'borrowing']","['zambia', 'debt', 'zambian', 'loan']","['zambia', 'debt', 'zambian', 'loan', 'borrowing']"
425,DAL,Delta Air Lines Inc,delta air,"['uae', 'dhabi', 'debtkbbo', 'debt', 'emirati']","['uae', 'dhabi', 'debtkbbo', 'debt']","['uae', 'dhabi', 'debtkbbo', 'debt', 'emirati']"
426,GDRX,GoodRx Holdings Inc,goodrx holdings,"['cattle', 'deforestation', 'rancher', 'ranch', 'beef']","['cattle', 'deforestation', 'rancher', 'ranch']","['cattle', 'deforestation', 'rancher', 'ranch', 'beef']"
427,SPI,SPI Energy Co,spi energy,"['bond', 'yuan', 'liquidity', 'foreign', 'debt']","['bond', 'yuan', 'liquidity', 'foreign']","['bond', 'yuan', 'liquidity', 'foreign', 'debt']"
428,PBR,Petroleo Brasileiro S,petroleo brasileiro,"['tesla', 'ev', 'spi', 'stock', 'edison']","['tesla', 'ev', 'spi', 'stock']","['tesla', 'ev', 'spi', 'stock', 'edison']"
429,BAK,Braskem SA ADR,braskem sa,"['tesla', 'ev', 'spi', 'stock', 'edison']","['tesla', 'ev', 'spi', 'stock']","['tesla', 'ev', 'spi', 'stock', 'edison']"
